temperature,pressure,humidity,wind_direction,wind_speed,weather_condition
288.63,1015.0,77.0,160.0,1.0,rain
288.86,1015.0,77.0,130.0,1.0,rain
291.94,1017.0,100.0,0.0,0.0,rain
283.17,1021.0,66.0,320.0,1.0,rain
282.86,1021.0,71.0,0.0,0.0,rain
283.12,1021.0,58.0,0.0,0.0,rain
283.37,1019.0,71.0,0.0,0.0,rain
282.79,1019.0,81.0,300.0,3.0,rain
282.98,1025.0,66.0,350.0,3.0,rain
282.16,1025.0,76.0,340.0,2.0,rain
281.94,1024.0,76.0,40.0,2.0,rain
281.94,1024.0,76.0,10.0,2.0,rain
281.82,1023.0,76.0,30.0,4.0,rain
282.173333333,1022.0,50.0,8.0,3.0,rain
282.066666667,1022.0,25.0,6.0,2.0,rain
288.42,1015.0,87.0,240.0,4.0,rain
279.41,1029.0,39.0,360.0,5.0,rain
292.78,1008.0,64.0,210.0,6.0,rain
291.51,1008.0,77.0,240.0,7.0,rain
290.93,1007.0,88.0,240.0,4.0,rain
290.93,1007.0,88.0,230.0,5.0,rain
290.81,1006.0,88.0,230.0,4.0,rain
290.55,1005.0,88.0,190.0,2.0,rain
289.44,1005.0,88.0,250.0,4.0,rain
288.25,1006.0,88.0,240.0,2.0,rain
288.05,1006.0,88.0,240.0,2.0,rain
290.45,1012.0,93.0,70.0,2.0,rain
290.61,1011.0,88.0,130.0,3.0,rain
290.4,1009.0,88.0,140.0,6.0,rain
290.37,1009.0,88.0,140.0,3.0,rain
290.72,1009.0,88.0,140.0,3.0,rain
291.64,1008.0,93.0,200.0,5.0,rain
290.47,1019.0,59.0,0.0,0.0,rain
287.09,1011.0,77.0,50.0,4.0,rain
286.38,1010.0,58.0,30.0,6.0,rain
285.63,1009.0,62.0,40.0,6.0,rain
286.58,1006.0,76.0,40.0,6.0,rain
285.55,1006.0,82.0,40.0,6.0,rain
285.15,1004.0,87.0,10.0,7.0,rain
285.5,1004.0,87.0,20.0,8.0,rain
285.3,999.0,76.0,20.0,9.0,rain
284.72,998.0,81.0,20.0,10.0,rain
284.47,997.0,76.0,20.0,9.0,rain
284.57,983.0,93.0,360.0,11.0,rain
285.04,979.0,87.0,360.0,10.0,rain
282.85,974.0,87.0,150.0,10.0,rain
280.74,987.0,87.0,150.0,5.0,rain
280.6,988.0,87.0,140.0,5.0,rain
280.49,990.0,87.0,130.0,5.0,rain
280.33,991.0,87.0,150.0,5.0,rain
280.49,993.0,87.0,180.0,7.0,rain
280.72,994.0,87.0,180.0,5.0,rain
280.96,994.0,87.0,180.0,5.0,rain
279.29,998.0,81.0,210.0,3.0,rain
279.15,998.0,81.0,190.0,4.0,rain
279.1,998.0,87.0,170.0,3.0,rain
279.01,999.0,81.0,200.0,3.0,rain
280.17,1010.0,65.0,310.0,9.0,rain
277.15,1013.0,64.0,20.0,4.0,rain
279.35,1028.0,81.0,320.0,5.0,rain
279.53,1027.0,87.0,0.0,0.0,rain
282.89,1008.0,76.0,210.0,1.0,rain
282.53,1008.0,81.0,190.0,2.0,rain
275.17,1025.0,86.0,80.0,3.0,rain
274.35,1024.0,93.0,30.0,5.0,rain
282.89,1021.0,81.0,190.0,2.0,rain
282.97,1022.0,81.0,260.0,2.0,rain
287.17,1015.0,76.0,210.0,2.0,rain
285.73,1016.0,62.0,320.0,6.0,rain
275.9,1023.0,80.0,0.0,0.0,rain
276.4,1023.0,86.0,110.0,1.0,rain
276.78,1022.0,86.0,0.0,0.0,rain
280.08,1013.0,95.0,212.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
280.93,1013.0,98.0,230.0,1.0,rain
282.02,1017.0,93.0,0.0,0.0,rain
280.64,1023.0,87.0,30.0,3.0,rain
279.3,1022.0,81.0,70.0,6.0,rain
278.78,1022.0,81.0,60.0,3.0,rain
278.65,1020.0,100.0,60.0,3.0,rain
281.6,1007.0,87.0,330.0,8.0,rain
280.85,1007.0,81.0,10.0,6.0,rain
280.5,1007.0,81.0,350.0,3.0,rain
279.31,1011.0,81.0,330.0,4.0,rain
279.27,1020.0,81.0,80.0,1.0,rain
283.05,1015.0,87.0,0.0,0.0,rain
281.35,1013.0,93.0,60.0,2.0,rain
280.62,1012.0,93.0,80.0,3.0,rain
280.28,1011.0,93.0,90.0,3.0,rain
280.33,1005.0,93.0,50.0,1.0,rain
280.76,1002.0,93.0,80.0,3.0,rain
281.29,1001.0,93.0,350.0,2.0,rain
281.54,1000.0,93.0,0.0,0.0,rain
278.77,1016.0,70.0,100.0,3.0,rain
279.46,1010.0,87.0,90.0,3.0,rain
280.29,1008.0,93.0,100.0,6.0,rain
286.45,989.0,87.0,150.0,11.0,rain
279.52,991.0,70.0,270.0,7.0,rain
278.59,993.0,56.0,290.0,9.0,rain
278.48,993.0,56.0,270.0,7.0,rain
275.75,1007.0,93.0,60.0,7.0,rain
277.62,994.0,87.0,40.0,13.0,rain
277.39,993.0,87.0,40.0,9.0,rain
276.8,993.0,87.0,10.0,5.0,rain
276.06,994.0,93.0,310.0,6.0,rain
274.93,998.0,86.0,310.0,8.0,rain
281.42,1025.0,70.0,140.0,2.0,rain
280.91,1023.0,87.0,110.0,2.0,rain
280.66,1021.0,93.0,120.0,3.0,rain
280.91,1022.0,93.0,330.0,3.0,rain
280.91,1021.0,100.0,20.0,2.0,rain
282.11,1024.0,53.0,330.0,3.0,rain
280.68,1025.0,50.0,350.0,5.0,rain
278.73,1025.0,81.0,360.0,3.0,rain
277.09,1025.0,81.0,40.0,3.0,rain
276.42,1024.0,93.0,80.0,4.0,rain
273.24,1022.0,64.0,330.0,9.0,rain
272.8925,1034.0,66.0,260.0,2.0,rain
275.4,1018.0,93.0,50.0,5.0,rain
273.9,1023.0,80.0,0.0,0.0,rain
275.06,1017.0,93.0,320.0,2.0,rain
275.16,1016.0,86.0,330.0,5.0,rain
274.59,1016.0,86.0,310.0,3.0,rain
274.4,1015.0,93.0,360.0,2.0,rain
277.9,1014.0,65.0,210.0,5.0,rain
280.16,1014.0,93.0,60.0,3.0,rain
280.4,1014.0,93.0,30.0,4.0,rain
280.14,1013.0,100.0,40.0,5.0,rain
279.86,1013.0,93.0,30.0,4.0,rain
279.25,1012.0,93.0,30.0,5.0,rain
278.78,1012.0,93.0,50.0,7.0,rain
277.12,1015.0,80.0,80.0,10.0,rain
276.37,1013.0,86.0,70.0,9.0,rain
276.18,1011.0,86.0,70.0,7.0,rain
276.36,1009.0,93.0,60.0,8.0,rain
278.44,1002.0,93.0,50.0,7.0,rain
278.03,1004.0,75.0,300.0,3.0,rain
278.72,1005.0,70.0,290.0,3.0,rain
280.01,1002.0,42.0,290.0,4.0,rain
278.47,1003.0,56.0,270.0,6.0,rain
277.43,1004.0,52.0,290.0,5.0,rain
274.9665,1021.0,78.0,199.0,5.0,rain
279.3972,1019.0,62.0,105.0,3.0,rain
276.76,1008.0,80.0,60.0,8.0,rain
276.82,1007.0,80.0,60.0,8.0,rain
276.74,1007.0,80.0,50.0,11.0,rain
278.726333333,1029.0,74.0,356.0,3.0,rain
279.762666667,1029.0,71.0,352.0,3.0,rain
277.315,1012.0,79.0,119.0,11.0,rain
277.19,1006.0,80.0,40.0,14.0,rain
276.62,1008.0,80.0,40.0,13.0,rain
280.224333333,1030.0,58.0,238.0,3.0,rain
279.367666667,1030.0,60.0,121.0,3.0,rain
277.5255,1022.0,65.0,12.0,6.0,rain
276.54,1013.0,69.0,20.0,9.0,rain
275.8655,1024.0,63.0,176.0,6.0,rain
280.51,1017.0,39.0,330.0,8.0,rain
278.7435,1026.0,53.0,168.0,6.0,rain
276.86,1020.0,52.0,350.0,7.0,rain
273.45,1031.0,45.0,338.0,4.0,rain
272.72,1025.0,22.0,329.0,5.0,rain
280.748,1025.0,94.0,144.0,3.0,rain
285.47,1007.0,76.0,310.0,6.0,rain
279.4565,1016.0,63.0,173.0,3.0,rain
279.318,1014.0,67.0,181.0,2.0,rain
275.23,1029.0,69.0,202.0,3.0,rain
273.9115,1029.0,47.0,46.0,2.0,rain
275.19,1015.0,93.0,40.0,6.0,rain
275.72,1012.0,93.0,60.0,4.0,rain
276.61,1009.0,86.0,350.0,3.0,rain
274.95,1000.0,86.0,340.0,3.0,rain
274.97,1001.0,93.0,290.0,1.0,rain
274.9,1002.0,86.0,300.0,4.0,rain
274.86,1003.0,86.0,300.0,3.0,rain
276.89,1016.0,86.0,160.0,1.0,rain
276.8,1014.0,86.0,0.0,0.0,rain
295.41,1008.0,39.0,200.0,4.0,rain
291.84,1012.0,46.0,10.0,12.0,rain
289.73,1012.0,93.0,110.0,3.0,rain
281.33,1005.0,87.0,40.0,6.0,rain
281.82,1027.0,66.0,90.0,5.0,rain
284.33,1027.0,62.0,80.0,3.0,rain
286.55,1026.0,62.0,0.0,1.0,rain
287.36,1026.0,51.0,160.0,3.0,rain
288.44,1024.0,72.0,150.0,3.0,rain
289.17,1022.0,77.0,120.0,4.0,rain
289.27,1006.0,88.0,250.0,3.0,rain
284.24,1007.0,82.0,310.0,3.0,rain
282.22,1009.0,71.0,310.0,4.0,rain
280.7,1020.0,57.0,320.0,7.0,rain
284.93,1022.0,87.0,130.0,4.0,rain
285.15,1022.0,93.0,130.0,3.0,rain
286.49,1022.0,100.0,130.0,3.0,rain
